2025-06-25 11:56:00 | 1000RATSUSDT | LONG | 8.64% -> STOP
2025-06-30 20:38:00 | 1000RATSUSDT | SHORT | -6.08% -> STOP
2025-06-16 09:04:00 | ALTUSDT | LONG | 53.99% -> STOP
2025-06-16 09:06:00 | ALTUSDT | LONG | 4.43% -> TAKE
2025-07-03 09:00:00 | RONINUSDT | SHORT | -4.34% -> TAKE
2025-07-03 09:17:00 | RONINUSDT | SHORT | -5.88% -> STOP
2025-06-21 21:31:00 | OMUSDT | SHORT | -4.2% -> TAKE
2025-07-03 07:49:00 | OMUSDT | LONG | 5.43% -> TAKE
2025-07-01 21:35:00 | PORTALUSDT | SHORT | -7.1% -> STOP
2025-06-10 04:41:00 | AXLUSDT | LONG | 54.77% -> STOP
2025-06-10 04:43:00 | AXLUSDT | SHORT | -4.09% -> STOP
2025-06-10 10:00:00 | AXLUSDT | SHORT | -4.37% -> STOP
2025-07-01 13:36:00 | METISUSDT | LONG | 6.27% -> TAKE
2025-06-06 12:57:00 | ZKUSDT | LONG | 4.34% -> TAKE
2025-06-27 22:59:00 | LISTAUSDT | LONG | 5.73% -> STOP
2025-06-20 17:34:00 | SYNUSDT | SHORT | -5.49% -> STOP
2025-06-26 07:41:00 | MBOXUSDT | LONG | 5.37% -> STOP
2025-06-26 07:43:00 | MBOXUSDT | LONG | 5.99% -> STOP
2025-06-09 10:36:00 | CHESSUSDT | LONG | 5.11% -> STOP
2025-07-02 03:47:00 | CHESSUSDT | SHORT | -4.15% -> STOP
2025-06-26 06:50:00 | BSWUSDT | LONG | 5.44% -> STOP
2025-06-26 07:00:00 | BSWUSDT | SHORT | -8.9% -> TAKE
2025-06-26 07:03:00 | BSWUSDT | LONG | 24.03% -> STOP
2025-06-26 07:06:00 | BSWUSDT | LONG | 9.41% -> STOP
2025-06-26 07:08:00 | BSWUSDT | SHORT | -5.04% -> TAKE
2025-06-26 07:12:00 | BSWUSDT | SHORT | -5.21% -> STOP
2025-06-26 07:14:00 | BSWUSDT | LONG | 5.49% -> STOP
2025-06-26 07:17:00 | BSWUSDT | SHORT | -4.3% -> STOP
2025-06-26 07:20:00 | BSWUSDT | SHORT | -8.02% -> STOP
2025-06-26 07:27:00 | BSWUSDT | LONG | 7.5% -> STOP
2025-06-26 09:42:00 | BSWUSDT | LONG | 4.76% -> STOP
2025-06-26 10:36:00 | BSWUSDT | LONG | 4.42% -> STOP
2025-07-03 21:28:00 | BSWUSDT | LONG | 8.25% -> TAKE
2025-07-04 03:01:00 | BSWUSDT | LONG | 4.71% -> STOP
2025-07-04 06:05:00 | BSWUSDT | SHORT | -5.98% -> STOP
2025-07-04 08:52:00 | BSWUSDT | LONG | 6.4% -> TAKE
2025-06-20 00:00:00 | QUICKUSDT | SHORT | -4.57% -> STOP
2025-06-20 02:38:00 | QUICKUSDT | LONG | 4.24% -> STOP
2025-06-24 15:35:00 | QUICKUSDT | SHORT | -7.42% -> STOP
2025-06-24 15:39:00 | QUICKUSDT | LONG | 4.44% -> TAKE
2025-06-24 15:50:00 | QUICKUSDT | SHORT | -4.47% -> STOP
2025-06-24 15:52:00 | QUICKUSDT | SHORT | -4.38% -> STOP
2025-06-05 20:13:00 | NEIROETHUSDT | SHORT | -5.22% -> TAKE
2025-06-06 14:15:00 | NEIROETHUSDT | LONG | 4.98% -> STOP
2025-06-12 00:25:00 | NEIROETHUSDT | SHORT | -4.18% -> STOP
2025-06-12 00:34:00 | NEIROETHUSDT | LONG | 5.16% -> STOP
2025-06-13 05:07:00 | NEIROETHUSDT | LONG | 7.5% -> TAKE
2025-06-21 21:31:00 | NEIROETHUSDT | SHORT | -4.25% -> STOP
2025-06-22 17:12:00 | NEIROETHUSDT | LONG | 10.09% -> STOP
2025-06-21 21:31:00 | UXLINKUSDT | SHORT | -5.26% -> STOP
2025-06-11 14:26:00 | GHSTUSDT | SHORT | -4.68% -> STOP
2025-06-09 07:24:00 | LOKAUSDT | LONG | 5.75% -> STOP
2025-06-09 05:11:00 | HMSTRUSDT | LONG | 7.9% -> TAKE
2025-06-09 05:13:00 | HMSTRUSDT | SHORT | -19.11% -> STOP
2025-06-09 05:17:00 | HMSTRUSDT | SHORT | -6.29% -> STOP
2025-06-09 05:20:00 | HMSTRUSDT | SHORT | -5.43% -> STOP
2025-06-09 05:23:00 | HMSTRUSDT | LONG | 4.42% -> STOP
2025-06-05 07:09:00 | REIUSDT | LONG | 4.76% -> STOP
2025-06-23 20:22:00 | 1000CATUSDT | LONG | 4.95% -> STOP
2025-07-03 04:47:00 | GOATUSDT | LONG | 5.72% -> TAKE
2025-07-03 04:47:00 | MOODENGUSDT | LONG | 29.26% -> STOP
2025-06-11 21:46:00 | GRASSUSDT | SHORT | -4.75% -> STOP
2025-06-19 21:29:00 | GRASSUSDT | SHORT | -4.02% -> STOP
2025-06-25 22:36:00 | SWELLUSDT | SHORT | -5.11% -> STOP
2025-06-18 13:13:00 | ACTUSDT | SHORT | -4.32% -> STOP
2025-06-18 13:16:00 | ACTUSDT | SHORT | -5.09% -> STOP
2025-06-18 13:22:00 | ACTUSDT | SHORT | -4.15% -> TAKE
2025-06-30 13:03:00 | ACTUSDT | SHORT | -7.13% -> STOP
2025-06-30 13:14:00 | ACTUSDT | LONG | 5.86% -> STOP
2025-06-18 16:07:00 | 1000WHYUSDT | SHORT | -5.9% -> TAKE
2025-06-12 19:02:00 | AEROUSDT | LONG | 5.86% -> STOP
2025-06-19 00:35:00 | RAYSOLUSDT | LONG | 16.83% -> STOP
2025-06-13 19:07:00 | SPXUSDT | LONG | 5.75% -> STOP
2025-06-12 22:30:00 | DEGOUSDT | SHORT | -9.49% -> TAKE
2025-06-05 20:47:00 | FARTCOINUSDT | LONG | 7.07% -> STOP
2025-06-08 13:23:00 | DEXEUSDT | SHORT | -4.27% -> STOP
2025-06-08 13:31:00 | DEXEUSDT | SHORT | -4.03% -> STOP
2025-06-24 20:27:00 | DEXEUSDT | SHORT | -12.69% -> STOP
2025-06-24 20:29:00 | DEXEUSDT | SHORT | -8.65% -> STOP
2025-06-24 20:45:00 | DEXEUSDT | LONG | 6.12% -> STOP
2025-06-24 21:21:00 | DEXEUSDT | LONG | 4.6% -> STOP
2025-06-24 21:24:00 | DEXEUSDT | SHORT | -4.61% -> STOP
2025-06-24 21:27:00 | DEXEUSDT | LONG | 4.83% -> STOP
2025-06-24 21:34:00 | DEXEUSDT | LONG | 11.0% -> TAKE
2025-06-24 22:27:00 | DEXEUSDT | LONG | 4.7% -> STOP
2025-06-25 10:28:00 | DEXEUSDT | LONG | 4.23% -> STOP
2025-06-25 22:14:00 | DEXEUSDT | LONG | 4.9% -> STOP
2025-06-30 22:22:00 | PHAUSDT | LONG | 4.24% -> STOP
2025-06-04 14:43:00 | DFUSDT | SHORT | -15.16% -> STOP
2025-06-22 02:16:00 | DFUSDT | SHORT | -4.8% -> STOP
2025-06-28 15:30:00 | DFUSDT | LONG | 4.31% -> STOP
2025-06-05 19:08:00 | ZEREBROUSDT | LONG | 4.5% -> STOP
2025-06-09 10:25:00 | ZEREBROUSDT | SHORT | -4.93% -> STOP
2025-06-13 04:55:00 | ZEREBROUSDT | LONG | 4.28% -> STOP
2025-06-13 11:05:00 | ZEREBROUSDT | LONG | 5.28% -> STOP
2025-06-18 00:13:00 | ZEREBROUSDT | SHORT | -4.14% -> STOP
2025-06-13 11:10:00 | ALCHUSDT | LONG | 4.78% -> STOP
2025-06-16 12:47:00 | ALCHUSDT | LONG | 7.28% -> STOP
2025-07-03 01:52:00 | ALCHUSDT | LONG | 5.48% -> STOP
2025-06-21 21:32:00 | SWARMSUSDT | SHORT | -5.0% -> STOP
2025-07-02 17:19:00 | SWARMSUSDT | SHORT | -4.26% -> STOP
2025-07-03 01:17:00 | SWARMSUSDT | LONG | 6.9% -> TAKE
2025-07-03 01:34:00 | SWARMSUSDT | SHORT | -6.16% -> TAKE
2025-06-26 10:32:00 | DUSDT | SHORT | -4.13% -> STOP
2025-07-04 00:16:00 | DUSDT | LONG | 6.62% -> STOP
2025-06-23 01:07:00 | PROMUSDT | SHORT | -4.74% -> STOP
2025-06-23 01:23:00 | PROMUSDT | LONG | 6.44% -> STOP
2025-06-23 01:45:00 | PROMUSDT | LONG | 4.15% -> STOP
2025-06-23 02:59:00 | PROMUSDT | LONG | 5.88% -> STOP
2025-06-27 12:33:00 | PROMUSDT | LONG | 4.42% -> TAKE
2025-06-05 14:06:00 | SOLVUSDT | SHORT | -5.22% -> TAKE
2025-06-05 18:12:00 | TRUMPUSDT | SHORT | -7.42% -> TAKE
2025-06-06 19:44:00 | TRUMPUSDT | LONG | 7.35% -> STOP
2025-07-02 23:01:00 | MELANIAUSDT | LONG | 4.23% -> TAKE
2025-06-07 15:23:00 | ANIMEUSDT | LONG | 4.07% -> STOP
2025-06-08 07:23:00 | ANIMEUSDT | SHORT | -5.79% -> STOP
2025-06-08 07:26:00 | ANIMEUSDT | SHORT | -4.68% -> STOP
2025-06-08 20:15:00 | ANIMEUSDT | LONG | 5.3% -> STOP
2025-06-08 20:23:00 | ANIMEUSDT | SHORT | -9.55% -> STOP
2025-06-09 13:46:00 | ANIMEUSDT | SHORT | -5.64% -> STOP
2025-06-21 21:31:00 | VINEUSDT | SHORT | -4.49% -> TAKE
2025-06-29 00:46:00 | VINEUSDT | LONG | 12.64% -> STOP
2025-07-02 16:58:00 | VINEUSDT | LONG | 6.9% -> STOP
2025-06-13 00:12:00 | TSTUSDT | LONG | 7.7% -> TAKE
2025-06-25 18:10:00 | HEIUSDT | SHORT | -4.88% -> TAKE
2025-06-18 12:55:00 | IPUSDT | SHORT | -6.6% -> STOP
2025-06-20 11:51:00 | GPSUSDT | LONG | 5.05% -> STOP
2025-06-25 12:22:00 | GPSUSDT | LONG | 4.02% -> STOP
2025-06-20 07:51:00 | EPICUSDT | SHORT | -4.13% -> STOP
2025-06-20 07:57:00 | EPICUSDT | SHORT | -7.01% -> STOP
2025-06-21 22:26:00 | EPICUSDT | LONG | 5.76% -> STOP
2025-06-04 16:04:00 | BMTUSDT | SHORT | -4.93% -> STOP
2025-06-11 10:02:00 | BMTUSDT | SHORT | -5.57% -> STOP
2025-06-11 10:04:00 | BMTUSDT | SHORT | -6.54% -> STOP
2025-06-14 16:02:00 | BMTUSDT | LONG | 8.46% -> TAKE
2025-07-01 02:36:00 | BMTUSDT | LONG | 5.05% -> TAKE
2025-06-06 13:56:00 | MUBARAKUSDT | LONG | 5.62% -> STOP
2025-06-16 09:31:00 | FORMUSDT | LONG | 12.19% -> STOP
2025-06-16 09:43:00 | FORMUSDT | LONG | 6.32% -> STOP
2025-06-09 10:01:00 | BIDUSDT | LONG | 6.91% -> STOP
